#!,Workbook:,Custom,Custom,,,,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,,,,
0.6,-9.89,-0.01,0.75,-9.58,0.06,2.55,2.52,,
0.63,-9.64,0.02,0.6,-9.89,-0.07,2.55,2.52,,
0.65,-9.46,-0.1,0.66,-9.83,-0.05,2.54,2.51,,
0.58,-9.76,0.02,0.65,-9.61,-0.05,2.55,2.52,,
0.68,-9.89,-0.02,0.62,-9.74,-0.07,2.55,2.52,,
0.67,-9.54,-0.02,0.67,-9.93,-0.01,2.54,2.51,,
0.63,-9.79,0.01,0.62,-9.56,-0.03,2.54,2.52,,
0.68,-9.96,0.01,0.7,-9.58,-0.01,2.55,2.52,,
0.68,-9.66,-0.11,0.51,-9.76,-0.07,2.54,2.51,,
0.65,-9.39,-0.01,0.62,-9.96,0.1,2.55,2.52,,
0.58,-9.81,0.02,0.64,-9.53,-0.11,2.54,2.51,,
0.68,-10.08,0.04,0.63,-9.86,-0.07,2.55,2.51,,
0.63,-9.53,-0.05,0.68,-9.95,0.05,2.55,2.5,,
0.59,-9.67,-0.04,0.65,-9.61,-0.03,2.54,2.51,,
0.64,-10.08,0.02,0.71,-9.71,-0.01,2.54,2.52,,
-1.26,-9.29,-0.21,2.15,-10.35,1.46,2.55,2.53,,
1.04,-9.24,0.03,-0.02,-11.76,-0.45,2.55,2.51,,
0.52,-9.44,-0.01,0.74,-9.75,-0.09,2.54,2.51,,
0.71,-9.54,0.02,0.73,-10.31,-0.1,2.55,2.52,,
0.21,-10.07,-0.33,0.63,-10.03,-0.01,2.55,2.51,,
-0.01,-10.99,-0.49,0.61,-9.34,0.11,2.55,2.51,,
0.93,-9.67,0.07,0.86,-10.25,0,2.55,2.5,,
3.1,-11.38,3.37,-0.34,-5.12,2.84,2.55,2.49,,
-1.95,-5.18,-0.39,-1.5,0.18,0.61,2.54,2.49,,
1.47,-2.65,-0.32,-1.15,-6.4,-0.17,2.54,2.52,,
-0.74,-6.46,-2.02,-1.78,-5.58,-1.85,2.54,2.53,,
-0.5,-4.98,-1.02,1.36,-6.62,-1.22,2.55,2.51,,
-0.47,-9.01,0.63,1.17,-9.7,1.39,2.54,2.52,,
-0.11,-9.27,0.05,-0.56,-9.36,-0.47,2.54,2.51,,
0.82,-15.31,-0.64,0.79,-15.44,0.04,2.54,2.51,,
1.11,-13.77,-0.99,1.82,-10.71,-0.91,2.55,2.51,,
0.54,-10.61,-0.46,1.92,-12.97,0.16,2.56,2.51,,
0.76,-9.36,-1.79,0.83,-12.86,-1.64,2.55,2.52,,
-0.99,-10.03,-0.95,0.3,-8.95,-1.73,2.54,2.51,,
-1.76,-11.34,-1.35,1.95,-7.26,-0.16,2.54,2.52,,
-0.91,-12.74,-0.34,0.74,-8.83,0.23,2.55,2.51,,
0.23,-11.56,-0.5,-0.42,-8.6,0.23,2.54,2.51,,
2.11,-9.15,0.42,-0.85,-12.73,-0.33,2.55,2.51,,
0.73,-7.47,0.61,0.96,-12.65,0.03,2.55,2.51,,
0.38,-9.75,2.08,0.25,-7.31,2.12,2.56,2.51,,
0.31,-4.06,-0.78,-0.02,-12.27,-0.55,2.54,2.51,,
-0.08,-6.83,-0.05,0.72,0.18,-0.14,2.54,2.51,,
1.01,-7.76,-0.15,1.07,-9.05,-0.02,2.55,2.51,,
0.33,-10.35,-0.08,0.35,-9.34,-0.32,2.55,2.51,,
1.41,-8,0.12,2.18,-11.47,0.44,2.56,2.51,,
1.2,-9.24,0.43,1.18,-9.34,-0.46,2.54,2.53,,
1.53,-6.04,0.62,0.96,-9.12,0.18,2.54,2.51,,
2.71,-5.31,0.64,-1.03,-13.52,-0.1,2.52,2.51,,
1.94,-9.31,0.61,1.43,-10.37,-0.06,2.55,2.51,,
0.62,-8.21,-0.28,2.59,-5.28,0.85,2.56,2.51,,
-1,-12,-0.34,0.81,-10.93,0.09,2.55,2.51,,
-0.67,-10.53,0.02,0.12,-8.52,0.61,2.55,2.51,,
1.29,-10.42,0.29,0.8,-9.65,0.13,2.55,2.51,,
-0.08,-9.04,-0.53,1.72,-7,0.16,2.54,2.51,,
0.24,-11.2,0.13,-0.23,-8.43,0.93,2.54,2.51,,
0.18,-12.52,-0.01,1.15,-6.75,-0.15,2.55,2.51,,
0.34,-13.15,-1.98,-0.14,-9.95,-1.37,2.55,2.51,,
3.91,-8.07,-0.33,4.53,-6.48,-0.22,2.56,2.52,,
2.85,-8.07,1.55,3.49,-8.93,3.51,2.54,2.52,,
-0.67,-7.97,-0.48,1.15,-5.7,0.48,2.54,2.51,,
0.95,-6.55,-0.11,-1.28,-9.87,0.68,2.55,2.51,,
-0.73,-14.16,-0.88,0.26,-12.46,0.19,2.54,2.51,,
0.76,-9.94,-1.35,-2,-13.35,-2.66,2.53,2.51,,
-0.5,-10.24,-0.64,2.28,-6.92,0.06,2.53,2.5,,
-0.47,-11.28,-0.66,0.96,-9.09,0.31,2.54,2.51,,
1.1,-9.54,-0.07,-0.43,-10.62,0.03,2.55,2.52,,
1.1,-9.78,-1.34,-2.2,-10.7,-2.22,2.54,2.51,,
2.03,-8.48,0.23,0.02,-8.38,0.41,2.54,2.51,,
1.13,-10.41,0.19,0.03,-11.08,0.1,2.55,2.51,,
0.91,-8.4,1.58,0.97,-8.43,2.03,2.56,2.51,,
1.35,-11.63,-2.11,-0.28,-9.28,-2.56,2.54,2.51,,
0.98,-9.91,-2.18,-5.73,-9.91,-3.37,2.54,2.5,,
0.02,-12.79,0.36,0.78,-10.68,-0.23,2.55,2.52,,
0.01,-16.54,2.41,2.03,-15.12,2.65,2.55,2.52,,
