"0.62,2.62,-39.38,-0.04,-9.71,2.56,2.52"
"0.83,0.58,-9.95,0.00,-9.59,2.57,2.52"
"1.04,0.65,-9.64,-0.01,-9.80,2.56,2.52"
"1.25,0.73,-9.46,0.05,-9.83,2.57,2.53"
"1.46,0.71,-9.64,-0.03,-9.73,2.56,2.52"
"1.66,0.68,-9.73,0.06,-9.70,2.58,2.53"
"1.87,0.61,-9.95,-0.02,-9.75,2.56,2.53"
"2.08,0.59,-9.97,0.07,-9.62,2.57,2.52"
"2.29,0.62,-9.76,0.02,-9.78,2.56,2.52"
"2.50,0.78,-9.59,0.07,-9.86,2.57,2.52"
"2.71,0.73,-9.71,0.07,-9.82,2.56,2.53"
"2.92,0.66,-9.57,0.01,-9.73,2.56,2.52"
"3.13,0.64,-9.90,-0.06,-9.66,2.56,2.54"
"3.34,0.72,-9.84,0.04,-9.71,2.57,2.52"
"3.54,0.51,-9.80,-0.25,-9.68,2.57,2.53"
"3.75,0.61,-9.52,0.00,-9.81,2.57,2.53"
"3.96,0.92,-8.84,-0.12,-9.81,2.58,2.53"
"4.17,0.89,-9.79,0.25,-9.88,2.57,2.53"
"4.38,0.52,-10.25,0.01,-9.69,2.57,2.53"
"4.59,0.85,-9.89,-0.11,-9.43,2.57,2.53"
"4.80,0.65,-10.34,-0.07,-10.28,2.57,2.52"
"5.01,0.45,-8.23,0.17,-9.24,2.55,2.52"
"5.22,1.10,-9.87,-0.00,-10.15,2.58,2.53"
"5.42,2.05,-7.75,-0.09,-9.36,2.57,2.54"
"5.63,-1.05,-10.82,-2.92,-7.53,2.57,2.53"
"5.84,0.78,-9.54,-0.15,-9.75,2.57,2.52"
"6.05,0.66,-9.69,-0.04,-9.95,2.57,2.53"
"6.26,-0.03,-9.51,-0.24,-9.11,2.57,2.52"
"6.47,0.37,-10.31,0.06,-9.41,2.57,2.53"
"6.68,0.83,-10.54,-0.25,-11.09,2.57,2.53"
"6.89,0.49,-9.64,0.00,-10.54,2.57,2.54"
"7.10,0.78,-9.78,0.25,-10.12,2.56,2.53"
"7.30,0.41,-9.41,0.29,-9.58,2.57,2.53"
"7.51,0.55,-10.27,0.03,-9.94,2.56,2.53"
"7.72,0.71,-10.06,0.12,-9.62,2.56,2.53"
"7.93,0.63,-10.30,-0.25,-9.41,2.56,2.52"
"8.14,0.58,-9.63,-0.25,-10.51,2.57,2.53"
"8.35,0.59,-9.50,-0.20,-9.74,2.57,2.53"
"8.56,1.13,-10.12,0.18,-9.43,2.57,2.53"
"8.77,0.57,-9.96,-0.23,-9.75,2.57,2.52"
"8.98,0.23,-9.88,-0.30,-9.88,2.57,2.53"
"9.19,0.51,-9.59,0.08,-9.43,2.57,2.53"
"9.39,0.93,-9.50,0.14,-10.47,2.56,2.52"
"9.60,0.85,-10.08,0.05,-9.03,2.56,2.54"
"9.81,0.59,-10.40,-0.17,-10.07,2.57,2.53"
"10.02,0.41,-10.65,-0.43,-9.62,2.57,2.53"
"10.23,0.74,-10.10,0.00,-9.25,2.56,2.51"
"10.44,0.31,-9.47,-0.12,-8.88,2.57,2.52"
"10.65,0.75,-9.77,-0.14,-10.08,2.56,2.51"
"10.86,0.65,-10.03,-0.09,-9.67,2.58,2.53"
"11.07,0.99,-9.36,0.00,-10.24,2.56,2.53"
"11.27,0.80,-9.89,0.01,-9.05,2.57,2.53"
"11.48,0.77,-10.31,-0.07,-9.77,2.57,2.53"
"11.69,0.40,-9.77,-0.25,-10.16,2.57,2.53"
"11.90,0.50,-9.86,0.09,-10.28,2.57,2.53"
"12.11,1.43,-9.19,0.41,-8.91,2.56,2.53"
"12.32,0.48,-9.78,-0.11,-9.18,2.56,2.52"
"12.53,0.50,-9.77,-0.22,-9.80,2.56,2.53"
"12.74,0.76,-9.49,-0.29,-9.42,2.57,2.52"
"12.95,0.93,-9.29,0.14,-10.13,2.57,2.52"
"13.16,0.45,-10.40,-0.38,-10.29,2.57,2.53"
"13.36,1.01,-9.56,0.21,-9.86,2.57,2.53"
"13.57,1.12,-9.28,0.31,-10.07,2.57,2.52"
"13.78,0.92,-9.87,-0.05,-10.08,2.57,2.53"
"13.99,0.58,-9.25,0.04,-9.29,2.56,2.53"
"14.20,0.74,-10.22,-0.10,-9.57,2.57,2.52"
"14.41,0.59,-10.40,-0.47,-9.31,2.57,2.53"
"14.62,0.77,-9.04,0.01,-10.74,2.57,2.54"
"14.83,0.93,-9.78,-0.01,-9.84,2.58,2.54"
"15.04,0.97,-9.64,-0.01,-9.96,2.57,2.53"
"15.25,0.93,-9.50,-0.01,-9.99,2.56,2.54"
"15.46,0.82,-9.53,-0.11,-9.73,2.57,2.53"
"15.66,0.75,-9.70,-0.07,-9.45,2.58,2.53"
"15.87,0.73,-9.93,-0.03,-9.46,2.57,2.52"
"16.08,0.71,-9.89,-0.12,-9.47,2.57,2.53"
"16.29,0.94,-9.81,0.00,-9.63,2.57,2.53"
